"Category","Attribute","CurrentValue","PossibleValues","Description","Path"
"SystemConfiguration","UsbPowerShare","Enabled","Disabled; Enabled","Configures the USB PowerShare feature behavior. Enabled - Charges the external devices, such as phones and portable music players, using the stored system battery when the system is turned off or in sleep mode. This feature works only if  (1) The device is connected through the USB Powershare port on the notebook. (2) The system is connected with AC power. (3) The battery charge is above 50 percent. Disabled - Turns this feature off and devices attached to the USB PowerShare port will not be charged when the system is in a sleep mode or turned off.","DellSmbios:\SystemConfiguration\UsbPowerShare"
"SystemConfiguration","IntegratedAudio","Enabled","Disabled; Enabled","Enables or disables the integrated audio controller.","DellSmbios:\SystemConfiguration\IntegratedAudio"
"SystemConfiguration","InternalSpeaker","Enabled","Disabled; Enabled","Enables or disables the built-in speaker.","DellSmbios:\SystemConfiguration\InternalSpeaker"
"SystemConfiguration","Microphone","Enabled","Disabled; Enabled","Enables or disables the internal or external microphone.","DellSmbios:\SystemConfiguration\Microphone"
"SystemConfiguration","KeyboardIllumination","Bright","Disabled; Dim; Bright","Configures the the keyboard illumination brightness percentage. The keyboard automatically illuminates when the internal keyboard, touchpad or pointstick are used. Off - Turns the keyboard illumination off. Brightness levels - Specify the percentage (25, 50, 75, 100) to adjust the brightness level. Auto - Keyboard illumination is automatically adjusted based on ambience light leavel. NOTE - Auto option requires ambience light sensor that may not be available on all systems.","DellSmbios:\SystemConfiguration\KeyboardIllumination"
"SystemConfiguration","UnobtrusiveMode","Disabled","Disabled; Enabled","Enables or disables the toggling light emissions using hotkey Fn+B. Enabled - Pressing Fn+B will toggle light emissions from the system. Disabled - Pressing Fn+B keys has no effect and will not toggle light emissions from the system.","DellSmbios:\SystemConfiguration\UnobtrusiveMode"
"SystemConfiguration","M2PcieSsd0","Enabled","Disabled; Enabled","Enables or disables M2 PCIE SSD 0","DellSmbios:\SystemConfiguration\M2PcieSsd0"
"SystemConfiguration","KbdBacklightTimeoutBatt","10s","5s; 10s; 15s; 30s; 1m; 5m; 15m; Never","Configures the timeout value for the keyboard backlight when the system is running only on battery power. Possible values are: 5s - Keyboard backlight stays on for 5 seconds. 10s - Keyboard backlight stays on for 10 seconds. 15s - Keyboard backlight stays on for 15 seconds. 30s - Keyboard backlight stays on for 30 seconds. 1m - Keyboard backlight stays on for 1 minute. 5m - Keyboard backlight stays on for 5 minutes. 15m - Keyboard backlight stays on for 15 minutes. Never - keyboard backlight always stays on.","DellSmbios:\SystemConfiguration\KbdBacklightTimeoutBatt"
"SystemConfiguration","KbdBacklightTimeoutAc","10s","5s; 10s; 15s; 30s; 1m; 5m; 15m; Never","Configures the timeout value for the keyboard backlight when an AC adapter is plugged into the system. Possible values are: 5s - Keyboard backlight stays on for 5 seconds. 10s - Keyboard backlight stays on for 10 seconds. 15s - Keyboard backlight stays on for 15 seconds. 30s - Keyboard backlight stays on for 30 seconds. 1m - Keyboard backlight stays on for 1 minute. 5m - Keyboard backlight stays on for 5 minutes. 15m - Keyboard backlight stays on for 15 minutes. Never - keyboard backlight always stays on.","DellSmbios:\SystemConfiguration\KbdBacklightTimeoutAc"
"MiscellaneousDevices","Camera","Enabled","Disabled; Enabled","Enables or disables the camera.","DellSmbios:\MiscellaneousDevices\Camera"
"USBConfiguration","UsbEmu","Enabled","Disabled; Enabled","If Boot Support is enabled, the system allows to boot any type of USB Mass Storage devices( hard drive, memory key or floppy). USB-aware OS always see USB Mass Storage devices irrespective of this setting, provided the port is enabled.","DellSmbios:\USBConfiguration\UsbEmu"
"USBConfiguration","UsbPortsExternal","Enabled","Disabled; Enabled","Enabled - Devices attached to this USB port is enabled and available in the operating system. Disabled - Devices attached to this USB port is disabled and not visible in the operating system. NOTE: USB mouse and keyboard will work even if the External USB Port is disabled.","DellSmbios:\USBConfiguration\UsbPortsExternal"
"USBConfiguration","ThunderboltPorts","Enabled","Disabled; Enabled","Enables or disables the thunderbolt controller in system.","DellSmbios:\USBConfiguration\ThunderboltPorts"
"USBConfiguration","ThunderboltBoot","Disabled","Disabled; Enabled","Enables or disables booting from the Thunderbolt device.","DellSmbios:\USBConfiguration\ThunderboltBoot"
"USBConfiguration","ThunderboltPreboot","Disabled","Disabled; Enabled","Enables OROMs and pre-boot UEFI drivers provided by Thunderbolt devices or PCIe devices.","DellSmbios:\USBConfiguration\ThunderboltPreboot"
"Video","BrightnessBattery","5","0-15","Sets the panel brightness to be used when the system is using battery power only. 0 means panel brightness will be 0% and 15 means panel brightness will be 100%.","DellSmbios:\Video\BrightnessBattery"
"Video","BrightnessAc","7","0-15","Sets the panel brightness to be used when the system is using AC power. 0 means panel brightness will be 0% and 15 means panel brightness will be 100%.","DellSmbios:\Video\BrightnessAc"
"Security","Absolute","EnableAbsolute","EnableAbsolute; DisableAbsolute; PermanentlyDisabled","Sets the value to the Absolute interface and control the Absolute service using the following options: Enabled - The Absolute interface is enabled. The Absolute service may now be activated or deactivated. Disabled - The Absolute interface is disabled. The Absolute service does not run. PermanentlyDisabled - The Absolute interface is disabled, and can only be enabled using a full reset at the factory.","DellSmbios:\Security\Absolute"
"Security","SmmSecurityMitigation","Enabled","Disabled; Enabled","Enables or disables the additional UEFI SMM Security Mitigation protections. The operating system uses this feature to protect the secure environment created by virtualization based security. Enabling this feature provides the additional UEFI SMM Security Mitigation protections support. However, this feature may cause compatibility or functionality issues with some legacy tools and applications.","DellSmbios:\Security\SmmSecurityMitigation"
"Security","PasswordLock","Enabled","Disabled; Enabled","Determines whether the changes to the system and HDD passwords are permitted or restricted if an admin password is set.

Disabled - If disabled, then the system and HDD passwords are locked by admin password and cannot be set, modified, or deleted unless Admin password is provided.
Enabled - If enabled, then the system and the HDD passwords can be set, modified, or deleted.

","DellSmbios:\Security\PasswordLock"
"Security","CapsuleFirmwareUpdate","Enabled","Disabled; Enabled","Enables or disables BIOS updates via UEFI capsule update packages.

NOTE: Disabling this option blocks the BIOS updates from services such as Microsoft Windows Update and Linux Vender Firmware Service (LVFS).

","DellSmbios:\Security\CapsuleFirmwareUpdate"
"Security","IsSystemPasswordSet","False","True; False","Specifies if System Password has been set.","DellSmbios:\Security\IsSystemPasswordSet"
"Security","IsAdminPasswordSet","True","True; False","Specifies if Admin Password has been set.","DellSmbios:\Security\IsAdminPasswordSet"
"Security","HDDInfo","Dell.Smbios.PowerShell.Providers.HDDInfo[]","","Displays the details of each HDD. The following information is displayed: (1) HDDName: The name of the HDD. (2) Present: Whether the HDD is physically present. (3) PwdProtected: Whether a password exists for the HDD. (4) PendingRestart: Whether reboot is pending to set the password. (5) AdminOnlyChange: Whether the changes to the password can be made only by an administrator. (6) SecureEraseSupported: Whether HDD Secure Erase is supported (7) SecureEraseEnabled: Whether HDD Secure Erase is enabled.","DellSmbios:\Security\HDDInfo"
"Security","AdminPassword","","","Sets, changes or clears the administrator (admin) password (also called the setup password). If you delete the admin password, the system password, if set, is also deleted.","DellSmbios:\Security\AdminPassword"
"Security","SystemPassword","","","Sets, changes or clears the system password (also called as User password). You need to enter the system password, if set, when the system is powered on.","DellSmbios:\Security\SystemPassword"
"Security","HDDPassword","","","Sets, changes or clears HDD password. Provide the HDD password, if set, when the system is powered on. NOTE: After Setting the HDD password, restart the system to apply the changes.","DellSmbios:\Security\HDDPassword"
"Security","StrongPassword","Disabled","Disabled; Enabled","Enables or disables the enforced use of strong password. If enabled, Admin and System passwords must contain at least one upper case character, at least one lower case character, and must contain minimum eight characters.","DellSmbios:\Security\StrongPassword"
"Security","PasswordBypass","Disabled","Disabled; RebootBypass","Allows users to skip the entry of the System password, internal Hard Disk Drive password, fingerprint scan or smartcard on either/both Reboot (warm boot) or S3 resume (resume from standby).","DellSmbios:\Security\PasswordBypass"
"Security","ChasIntrusion","SilentEnable","Disabled; Enabled; SilentEnable","The Chassis Intrusion switch is a physical switch which triggers an event when the chassis is opened. Enabled - The system detects and reports Chassis Intrusion events to the system display on boot-up. Disabled - The system does not detect and report Chassis Intrusion events to the system display on boot-up. SilentEnable - The system detects but does not report Chassis Intrusion events to the system display on boot-up.","DellSmbios:\Security\ChasIntrusion"
"Security","ChassisIntrusionStatus","Tripped","DoorOpen; DoorClosed; Tripped; TripReset","Displays the status of chassis intrusion. NOTE: Except TripReset, all values are read-only. DoorOpen - Indicates that chassis door is open. Tripped - Indicates that the chassis door was opened since the last time the sensor-detection logic was reset. DoorClosed - Indicates that chassis door is closed. TripReset - Resets the sensor-detection logic to detect the next closed-to-open transition on the chassis door.","DellSmbios:\Security\ChassisIntrusionStatus"
"Security","AdminSetupLockout","Disabled","Disabled; Enabled","Enabled - Prevents users from entering Setup when an Admin password is set. Disabled - Allows users to entering Setup even when an Admin password is set.","DellSmbios:\Security\AdminSetupLockout"
"Security","MasterPasswordLockout","Disabled","Disabled; Enabled","Enables or disables the master password settings. CAUTION: Using the Dell Command | PowerShell Provider, you cannot disable this feature. Enabled - The master password cannot be used to (1) clear other passwords (2) unlock and access Hard Disk Drive (3) erase data from Hard Disk Drive. Disabled - The master password can be used to (1) clear other passwords (2) unlock and access Hard Disk Drive (3) erase data from Hard Disk Drive. NOTE: One of the methods of configuring this feature is from the BIOS setup screen.","DellSmbios:\Security\MasterPasswordLockout"
"TPMSecurity","TpmPpiClearOverride","Disabled","Disabled; Enabled","When enabled tpmppiclearoverride, performing the TPM clear command within operating system does not require user's interaction. When disabled, performing the TPM clear command within operating system requires user's interaction.
Note: To set TpmPpiClearOverride, AdminPassword must be set.
","DellSmbios:\TPMSecurity\TpmPpiClearOverride"
"TPMSecurity","SHA256","Enabled","Disabled; Enabled","Sets the Hash Algorithm used for TPM 2.0 measurements. Disabled - Sets hash algorithm to SHA-1. Enabled - Sets hash algorithm to SHA-256. SHA384 - Sets hash algorithm to SHA-384. SHA512 - Sets hash algorithm to SHA-512. NOTE: This value cannot be changed if TPM is already owned.","DellSmbios:\TPMSecurity\SHA256"
"TPMSecurity","TpmSecurity","Enabled","Disabled; Enabled","Controls whether the Trusted Platform Module (TPM) in the system is enabled and visible to the operating system. Enabled - BIOS will turn on the TPM during POST, and can be used by the operating system. Disabled - BIOS will not turn on the TPM during POST, and the TPM will be non-functional and invisible to the operating system. NOTE: Disabling this option does not change any settings that you may have made to the TPM, nor does it delete or change any information or keys you may have stored there. It simply turns off the TPM so that it cannot be used. When you re-enable this option, TPM will work exactly as it did before it was disabled.","DellSmbios:\TPMSecurity\TpmSecurity"
"TPMSecurity","TpmClear","Disabled","Disabled; Enabled","When you enable TPM Clear, the TPM ownership is cleared during the next boot and the system firmware sets the value of TPM Clear to disabled. When you disable TPM Clear, the TPM ownership remains unchanged. 
","DellSmbios:\TPMSecurity\TpmClear"
"SecureBoot","SecureBootMode","DeployedMode","DeployedMode; AuditMode","Allows the variation of Secure Boot operation mode. Possible values are Audit Mode and Deployed Mode. Audit Mode enables the evaluation of changes to the Secure Boot key database. Deployed Mode is the normal mode of operation for measuring the UEFI executable images. Attempting the transition to Audit Mode by writing '1' to the DA token may fail if the system is not in OSMM.","DellSmbios:\SecureBoot\SecureBootMode"
"SecureBoot","SecureBoot","Enabled","Disabled; Enabled","Enables or disables the secure boot feature. For secure boot to be enabled, the system needs to be in UEFI boot mode and the Enable Legacy Option ROMs option needs to be turned off. CAUTION: Using the Dell Command | PowerShell Provider, you cannot disable this feature. NOTE: One of the methods of configuring this feature is from the BIOS setup screen.","DellSmbios:\SecureBoot\SecureBoot"
"Performance","CpuCore","","CoresAll","This field specifies whether the processor will have one or more cores enabled. The performance of some applications will improve with the additional cores.","DellSmbios:\Performance\CpuCore"
"Performance","Speedstep","Enabled","Disabled; Enabled","Intel SpeedStep technology that allows the processor to operate at two or more operating speeds called P-states in ACPI terminology. When disabled, the processor will always operate at its maximum frequency.","DellSmbios:\Performance\Speedstep"
"Performance","CStatesCtrl","Enabled","Disabled; Enabled","Enables or disables additional processor sleep states. The operating system may optionally use these for additional power savings when idle.","DellSmbios:\Performance\CStatesCtrl"
"Performance","TurboMode","Enabled","Disabled; Enabled","Enables or disables the Intel TurboBoost mode of the processor. Disabled - Does not allow the TurboBoost driver to increase the performance state of the processor above the standard performance. Enabled - Allows the Intel Turbo driver to increase the performance of the CPU or graphics processor.","DellSmbios:\Performance\TurboMode"
"Performance","LogicProc","Enabled","Disabled; Enabled","Enables or disables HyperThreading in the processor.","DellSmbios:\Performance\LogicProc"
"PowerManagement","PowerOnLidOpen","Enabled","Disabled; Enabled","Set the PowerOnLidOpen feature using the following options: Enabled - If this feature is set to enabled, the system powers up from the off state whenever the lid is opened. This system powers on when powered either by the AC adapter or system battery. Disabled - If this feature is set to disabled, the system does not power up from the off state whenever the lid is opened.","DellSmbios:\PowerManagement\PowerOnLidOpen"
"PowerManagement","SpeedShift","Enabled","Disabled; Enabled","Enables or disables the Intel Speed Shift Technology support. Setting this option to Enabled allows the operating system to select the appropriate processor performance automatically.","DellSmbios:\PowerManagement\SpeedShift"
"PowerManagement","AutoOn","Disabled","Disabled; Everyday; Weekdays; SelectDays","Configures the days when the system has to turn on automatically at the time specified in AutoOnHour and AutoOnMinute. This function can turn on the system either every day, on weekdays, or on selected days. If AutoOnHour is set to '23', and AutoOnTime is set to '53', then setting AutoOntime to 'Weekdays' will turn on the system automatically on weekdays (Monday to Friday) at 11:53 p.m.. To turn on the system on particular days, set AutoOnTime as 'SelectDays', and then enable or disable individual days by setting AutoOnSunday -enable, AutoOnMonday -disable, etc.","DellSmbios:\PowerManagement\AutoOn"
"PowerManagement","AutoOnHr","0","0-23","Configures the hour when the system has to turn on automatically. Value ranging from 0-23 can be provided. To set the time 11:59p.m., provide the value as 23.","DellSmbios:\PowerManagement\AutoOnHr"
"PowerManagement","AutoOnMn","0","0-59","Configures the minute when the system has to turn on automatically. Value ranging from 0-59 can be provided. To set the time 11:59p.m., provide the value as 59.","DellSmbios:\PowerManagement\AutoOnMn"
"PowerManagement","PeakShiftCfg","Disabled","Disabled; Enabled","Enables or disables the Peak Shift configuration. Using Peak Shift configuration, you can minimize the consumption of AC power during the peak power usage period of the day.","DellSmbios:\PowerManagement\PeakShiftCfg"
"PowerManagement","PeakShiftBatteryThreshold","15","15-100","Sets the value of Peak Shift battery threshold. The acceptable value range is from 15 to 100 percentage. When the Peak Shift battery threshold level is reached, the system starts using AC power.","DellSmbios:\PowerManagement\PeakShiftBatteryThreshold"
