"Category","Attribute","CurrentValue","PossibleValues","Description","Path"
"Manageability","AmtCap","RestrictPrebootAccess","Disabled; Enabled; RestrictMebxAccess; RestrictPrebootAccess","Enabled - If Intel Active Management Technology is enabled, MEBx is available through F12 menu and you can provision AMT. MEBx may not be accessible if OROM Keyboard Access is disabled.
RestrictMebxAccess - If Intel Active Management Technology is enabled, MEBx is not available in pre-boot but you can provision AMT from OS.
Disabled - If Intel Active Management Technology is disabled, MEBx is not available in pre-boot. Once disabled, Intel Active Management Technology can only be enabled through BIOS interface. If the Intel AMT is already provisioned, AMT cannot be disabled (Un-provisioning AMT is required to disable AMT).
","DellSmbios:\Manageability\AmtCap"
"Manageability","PostMebxKey","Disabled","Disabled; Enabled","MEBx stands for Intel Management Engine BIOS Extension. Enables or disables the MEBx hotkey function when the system boots.","DellSmbios:\Manageability\PostMebxKey"
"VirtualizationSupport","Virtualization","Enabled","Disabled; Enabled","Enables or disables the VT technology in applicable CPUs. Trusted execution required for Virtualization technology to be enabled.","DellSmbios:\VirtualizationSupport\Virtualization"
"VirtualizationSupport","VtForDirectIo","Enabled","Disabled; Enabled","Determines whether a Virtual Machine Monitor (VMM) can utilize the additional hardware capabilities provided by Intel Virtualization Technology for Direct IO.","DellSmbios:\VirtualizationSupport\VtForDirectIo"
"VirtualizationSupport","TrustExecution","Enabled","Disabled; Enabled","Determines whether a Measured Virtual Machine Monitor (MVMM) can utilize the additional hardware capabilities provided by the Intel Trusted Execution Technology. NOTE: TPM has to be enabled and activated. Also, Virtualization Technology and VT for Direct I/O must be enabled to use this feature.","DellSmbios:\VirtualizationSupport\TrustExecution"
"Wireless","WWanBusMode","","PcieMode","WWanBusMode sets the interface type of the Wireless Wan (WWAN) card. It is recommended that Microsoft(R) Windows users set this field to PCIe, while all the other users set this to USB.
","DellSmbios:\Wireless\WWanBusMode"
"Wireless","WirelessLan","Enabled","Disabled; Enabled","Enables or disables the internal wireless LAN device.","DellSmbios:\Wireless\WirelessLan"
"Wireless","BluetoothDevice","Enabled","Disabled; Enabled","Enables or disables the internal Bluetooth device.","DellSmbios:\Wireless\BluetoothDevice"
"Maintenance","BiosRcvrFrmHdd","Enabled","Disabled; Enabled","Enables or disables the system BIOS Recovery option. This feature saves a recovery image to a primary hard disk drive storage, or to an external USB, and uses this recovery image to recover BIOS image when system BIOS fails.

Enabled - BIOS stores the recovery image on a primary hard disk drive storage. So BIOS recovery image is available both from the primary hard disk drive permanent storage as well as via an external USB.
Disabled - BIOS does not store the recovery image on primary hard disk drive storage. So BIOS recovery image is available only via an external USB.

","DellSmbios:\Maintenance\BiosRcvrFrmHdd"
"Maintenance","BiosAutoRcvr","Disabled","Enabled; Disabled","Enables or disables BIOS auto recovery feature. Enabled - If BIOS corruption is detected, the system automatically recovers BIOS without any user interaction. Disabled - Disables BIOS auto recovery feature.","DellSmbios:\Maintenance\BiosAutoRcvr"
"Maintenance","AllowBiosDowngrade","Enabled","Disabled; Enabled","Allows or restricts downgrading of the system BIOS. Enabled - Allows the system to downgrade the system BIOS. Disabled - Restricts the system to downgrade the system BIOS. CAUTION: You cannot enable the Allow BIOS Downgrade feature using the Dell Command | PowerShell Provider. NOTE: One of the methods of enabling the Allow BIOS Downgrade feature is from the BIOS setup screen.","DellSmbios:\Maintenance\AllowBiosDowngrade"
"SystemLogs","BiosLogClear","Keep","Keep; Clear","Prevents or allows the BIOS event log to be cleared on the next boot. Keep - Does not clear the BIOS event log on the next boot. Clear - Clears the BIOS event log on the next boot.","DellSmbios:\SystemLogs\BiosLogClear"
"SystemLogs","PowerLogClear","Keep","Keep; Clear","Prevents or allows the power event log to be cleared on the next boot. Keep - Does not clear the power event log on the next boot. Clear - Clears the power event log on the next boot.","DellSmbios:\SystemLogs\PowerLogClear"
"SystemLogs","ThermalLogClear","Keep","Keep; Clear","Prevents or allows the thermal event log to be cleared on the next boot. Keep - Does not clear the thermal event log on the next boot. Clear - Clears the thermal event log on the next boot.","DellSmbios:\SystemLogs\ThermalLogClear"
"SupportAssistSystemResolution","BIOSConnect","Enabled","Disabled; Enabled","Enables or Disables BIOS Connect feature.","DellSmbios:\SupportAssistSystemResolution\BIOSConnect"
"SupportAssistSystemResolution","SupportAssistOSRecovery","Enabled","Disabled; Enabled","Enables or disables the boot flow for SupportAssist OS recovery tool in the event of certain system errors.\n","DellSmbios:\SupportAssistSystemResolution\SupportAssistOSRecovery"
"SupportAssistSystemResolution","AutoOSRecoveryThreshold","2","OFF; 1; 2; 3","Sets the threshold value for auto OS recovery. Possible values: OFF, 1, 2 and 3. Controls the automatic boot flow for SupportAssist System Resolution console and for Dell OS Recovery Tool. The system boots to the SupportAssist System Resolution console and for Dell OS Recovery Tool if, \nthe primary operating system fails to boot consecutively. 
		  \nthe count of boot failure is greater than or equal to the value of the Auto OS Recovery threshold setup option. \nSupportAssist OS Recovery option is enabled.
          \nNOTE: If Auto OS Recovery threshold is set to Off, then all automatic boot flow for SupportAssist System Resolution console and for Dell OS Recovery Tool will be disabled.
		  ","DellSmbios:\SupportAssistSystemResolution\AutoOSRecoveryThreshold"
"Passwords","PwdMinLen","4","4-32","This feature controls the minimum number of characters that are mandatory for a password.
","DellSmbios:\Passwords\PwdMinLen"
"Passwords","PwdLowerCaseRqd","Disabled","Disabled; Enabled","When enabled, this feature reinforces that the password must contain one lower case letter.
","DellSmbios:\Passwords\PwdLowerCaseRqd"
"Passwords","PwdUpperCaseRqd","Disabled","Disabled; Enabled","When enabled, this feature reinforces that the password must contain one upper case letter.
","DellSmbios:\Passwords\PwdUpperCaseRqd"
"Passwords","PwdDigitRqd","Disabled","Disabled; Enabled","When enabled, this feature reinforces that the password must contain one digit number.
","DellSmbios:\Passwords\PwdDigitRqd"
"Passwords","PwdSpecialCharRqd","Disabled","Disabled; Enabled","When enabled, this feature reinforces password must contain one special character.
","DellSmbios:\Passwords\PwdSpecialCharRqd"
"PreEnabled","FOTA","Enabled","Disabled; Enabled","When selected, enables Firmware update Over the Air( Remote update of BIOS flash).
","DellSmbios:\PreEnabled\FOTA"
"PreEnabled","TelemetryAccessLvl","Full","Disabled; Basic; Enhanced; Full","This feature controls the type of telemetry for data support.
Disabled - No telemetry.
Basic - Flash and Diags only.
Enhanced - Flash, Diags and Boot Event.
Full - All telemetry.
","DellSmbios:\PreEnabled\TelemetryAccessLvl"
"PreEnabled","ReportLogoType","0","0-1","Reports the type of splash screen logo (Dell or custom) that is passed from BIOS to user. 
Note: You cannot enable or disable this feature using Dell Command | Powershell Provider. 
","DellSmbios:\PreEnabled\ReportLogoType"
"PreEnabled","ABIProvState","Disabled","Disabled; Enabled","Help text is not available for this feature.","DellSmbios:\PreEnabled\ABIProvState"
"PreEnabled","ABIState","Disabled","Disabled; Enabled","Help text is not available for this feature.","DellSmbios:\PreEnabled\ABIState"
"PreEnabled","AutoRtcRecovery","Enabled","Disabled; Enabled","When enabled, if the computer should become unresponsive before completing the BIOSPower-On-Self-Test (POST), the BIOS will attempt to automatically recover the computer.In some cases, this may include reverting BIOS Setup configuration settings to BIOS
default values, and unprovisioning Intel AMT vPro (if applicable).","DellSmbios:\PreEnabled\AutoRtcRecovery"
"PreEnabled","BlockBootUntilChasIntrusionClr","Disabled","Disabled; Enabled","When the ""Block Boot Until Cleared"" setting is enabled, you will not be able to boot until returning to this page to clear the warning. If an Admin Password is set, you will need to unlock Setup to clear the warning.","DellSmbios:\PreEnabled\BlockBootUntilChasIntrusionClr"
"PreEnabled","DeviceHotkeyAccess","Enabled","Enabled; OnetimeEnable; Disabled","This setting manages whether users can access device configuration screens via hotkeys during system startup. This setting prevents user access to Intel RAID (CTRL+I), LSI RAID (CTRL+C), or Intel Management Engine BIOS Extension (CTRL+P/F12).
Enable = User can access device configuration screens using hotkeys.
One Time Enable = User can access device configuration screens using hotkeys upon the next system startup only. After the next startup, this setting will revert to a disabled state.
Disable = User cannot access device configuration screens using hotkeys.
Enabling Device Configuration Hotkey Access allows users to access device configuration screen by pressing the hotkeys during system startup.
One-Time Enable allows access to device configuration screens via hotkeys only during the next system startup. After the next startup, this setting will revert to a disabled state.
Disabling Device Configuration Hotkey Access will prevent users from accessing Intel RAID (CTRL+I), LSI RAID (CTRL+C), and Intel Management Engine BIOS Extension (CTRL+P/F12).
","DellSmbios:\PreEnabled\DeviceHotkeyAccess"
"PreEnabled","DisUsb4Pcie","Disabled","Disabled; Enabled","Disabling USB4 PCIe tunneling may cause the TBT controller to show an error and may cause TBT devices to not function.
","DellSmbios:\PreEnabled\DisUsb4Pcie"
"PreEnabled","FirmwareTamperDet","Silent","Disabled; Enabled; Silent","This field controls the Firmware Device Tamper Detection feature.
","DellSmbios:\PreEnabled\FirmwareTamperDet"
"PreEnabled","HttpsBoot","Enabled","Disabled; Enabled","This platform has HTTP(s) Boot capabilities.","DellSmbios:\PreEnabled\HttpsBoot"
"PreEnabled","HttpsBootMode","AutoMode","AutoMode; ManualMode","Help text is not available for this feature.","DellSmbios:\PreEnabled\HttpsBootMode"
"PreEnabled","IPv4PXEBoot","Enabled","Disabled; Enabled","When enabled, IPv4 PXE Boot option is available. When disabled, IPv4 PXE Boot option is not available.
","DellSmbios:\PreEnabled\IPv4PXEBoot"
"PreEnabled","IPv6PXEBoot","Enabled","Disabled; Enabled","When enabled, IPv6 PXE Boot option is available. When disabled, IPv6 PXE Boot option is not available.
","DellSmbios:\PreEnabled\IPv6PXEBoot"
"PreEnabled","IPvXBootOrder","IPv4","IPv4; IPv6","This option is used to select the IPv4 and IPv6 option boot order.
","DellSmbios:\PreEnabled\IPvXBootOrder"
"PreEnabled","IntelSagv","Enabled","Disabled; Enabled","When enabled, the system dynamically adjusts voltage and frequencies depending on power and performance requirements.","DellSmbios:\PreEnabled\IntelSagv"
"PreEnabled","IntelTME","Disabled","Disabled; Enabled","Total Memory Encryption(TME) is used to protect memory from physical attacks including freeze spray, probing DDR to read the cycles, and others. All of system memory is encrypted by the TME block attached to the memory controller. Up to 16 different encryption keys are supported for use by OS/VMM.","DellSmbios:\PreEnabled\IntelTME"
"PreEnabled","InternalDmaCompatibility","Disabled","Disabled; Enabled","When Enabled, BIOS will notify the OS that the internal ports are not DMA capable. This is intended to help with devices that have OS DMA compatibility issues. This setting does not affect external port DMA or Pre-boot DMA support.
","DellSmbios:\PreEnabled\InternalDmaCompatibility"
"PreEnabled","KernelDma","Enabled","Disabled; Enabled","This setting controls Kernel DMA protection for both Internal and External ports.This setting does not directly enable DMA protection in the OS. However, for OS's that support DMA protection, the setting will indicate to the OS that the BIOS supports the feature.
","DellSmbios:\PreEnabled\KernelDma"
"PreEnabled","LegacyInterfaceAccess","","Enabled; ReadOnly; Disabled","This setting allows the platform administrator to control access via the Legacy Manageability Interface when ABI is enabled and provisioned
Enabled: The Legacy Manageability Interface can be used to read and change BIOS configuration settings
Read-Only: BIOS configuration settings can be read, but cannot be changed through the Legacy Manageability Interface
Disabled: The Legacy Manageability Interface is disabled. BIOS configuration reads and writes are only allowed through ABI

","DellSmbios:\PreEnabled\LegacyInterfaceAccess"
"PreEnabled","LogoType","DellLogo","DellLogo; CustomLogo","Help text is not available for this feature.","DellSmbios:\PreEnabled\LogoType"
"PreEnabled","MSUefiCA","Disabled","Enabled; Hybrid; Disabled","Enable Microsoft UEFI CA(Certificate Authority) will include the UEFI CA in the BIOS UEFI Secure Boot DB database.
When disabled, the Microsoft UEFI CA is removed from the BIOS UEFI Secure Boot DB database.
Disabling the Microsoft UEFI CA could render your system unable to boot. System graphics may not function. Some devices may not function properly. The system could become unrecoverable.
Allow Pre-Boot Modules Only will use the Microsoft UEFI CA to verify the authenticity of option ROMs used for add-in cards. 
","DellSmbios:\PreEnabled\MSUefiCA"
"PreEnabled","MultipleAtomCores","CoresAll","CoresAll; 0; 1; 2; 3; 4; 5; 6; 7","This setting allows you to change the number of Atom cores available to the OS. The default value is set to the maximum number of Atom cores.","DellSmbios:\PreEnabled\MultipleAtomCores"
"PreEnabled","NonAdminPsidRevert","Disabled","Disabled; Enabled","This option controls access to the Physical Security ID (PSID) revert of NVMe hard-drives from the Dell Security Manager prompt. 

When disabled: If a BIOS Admin password is set, PSID revert is protected by the BIOS Admin password and the user will be prompted to enter the BIOS Admin password before performing the revert.
When enabled: PSID revert is allowed to proceed without providing the BIOS Admin password.
","DellSmbios:\PreEnabled\NonAdminPsidRevert"
"PreEnabled","OwnerTagWithLogo","Enabled","Disabled; Enabled","Enabling this feature will show the system Ownership Tag in addition to the BIOS Boot logo. This option is only available if an Ownership Tag has been set.","DellSmbios:\PreEnabled\OwnerTagWithLogo"
"PreEnabled","PreBootDma","Enabled","Disabled; Enabled","This setting controls Pre-boot DMA protection for both Internal and External ports.
","DellSmbios:\PreEnabled\PreBootDma"
"PreEnabled","PxeBootPriority","Disabled","Disabled; Enabled; Forced","When enabled, if a new PXE boot option is detected, it will be added to the top of the Boot Sequence.
When forced, any PXE boot option will be on the top of the Boot Sequence; and any external PXE boot option(s) have the higher boot priority than any internal PXE boot option(s). OS installation will not change the PXE boot option priority.
","DellSmbios:\PreEnabled\PxeBootPriority"
"PreEnabled","ThermalManagement","Optimized","Optimized; Cool; Quiet; UltraPerformance","This setting allows for cooling fan and processor heat management to adjust system performance, noise and temperature.
","DellSmbios:\PreEnabled\ThermalManagement"
"PreEnabled","TypeCDockAudio","Enabled","Disabled; Enabled","This field always allows user to use Audio on Dell Dock external ports.","DellSmbios:\PreEnabled\TypeCDockAudio"
"PreEnabled","TypeCDockLan","Enabled","Disabled; Enabled","This field always allows user to use LAN on Dell Dock external ports.","DellSmbios:\PreEnabled\TypeCDockLan"
"PreEnabled","TypeCDockOverride","Enabled","Disabled; Enabled","This field always allows user to use connected Type-C Dell Dock to provide data stream when keeping the External USB Ports disabled. When Type-C Dock Override gets enabled, it activates Audio/Lan submenu.","DellSmbios:\PreEnabled\TypeCDockOverride"
"PreEnabled","VerticalIntegration","Enabled","Disabled; Enabled","When enabled, Dell OS Agent(s) will be capable of scheduling onboard diagnostics on a subsequent boot which can help assist in the prevention and resolution of hardware related issues.
When disabled, Dell OS Agent(s) will not be capable of scheduling any onboard diagnostics and scans must be initiated manually in the pre-boot environment.","DellSmbios:\PreEnabled\VerticalIntegration"
"PreEnabled","VideoPowerOnlyPorts","Disabled","Disabled; Enabled","Limits Type-C port functionality to Video or Power only","DellSmbios:\PreEnabled\VideoPowerOnlyPorts"
"PreEnabled","CpuCoreExt","0","0-1","Help text is not available for this feature.","DellSmbios:\PreEnabled\CpuCoreExt"
"UEFIvariables","ForcedNetworkFlag","TBD","","Control Forced Network Flag","DellSmbios:\UEFIvariables\ForcedNetworkFlag"
